,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DisciplineDenominator,DisciplineNumerator,DisciplineRate,DistrictCode_y,Expenditure
49,Kitsap,18401.0,Central Kitsap School District,4509.0,Klahowya Secondary,P,12th Grade,160.0,82.0,0.0,78.0,0.0,3.0,0.0,17.0,0.0,17.0,123.0,2.0,0.0,0.0,0.0,45.0,0.0,11.0,4.0,7.0,20.0,158.0,158.0,160.0,160.0,115.0,160.0,146.0,24.0,1.0,3.0,1.0,2.0,22.0,148.0,135.0,6.0,7.0,0.9122,Count Suppressed,Count Suppressed,<2%,18401.0,16258616.5
50,,,,1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,3.0,0.0,0.0,0.0,0.0,,,,,,
51,Kitsap,18401.0,Central Kitsap School District,4100.0,Olympic High School,P,12th Grade,281.0,127.0,0.0,154.0,1.0,27.0,10.0,46.0,5.0,58.0,134.0,8.0,0.0,0.0,0.0,124.0,0.0,19.0,7.0,16.0,33.0,273.0,280.0,281.0,281.0,157.0,281.0,280.0,28.0,1.0,1.0,2.0,6.0,37.0,271.0,245.0,16.0,10.0,0.9041,Count Suppressed,Count Suppressed,<1%,18401.0,17141436.2
52,Spokane,32356.0,Central Valley School District,3065.0,Central Valley High School,P,12th Grade,541.0,249.0,0.0,292.0,3.0,20.0,4.0,2.0,8.0,30.0,474.0,19.0,0.0,7.0,7.0,145.0,0.0,3.0,16.0,26.0,31.0,522.0,540.0,534.0,534.0,396.0,541.0,477.0,89.0,6.0,13.0,11.0,6.0,24.0,542.0,455.0,51.0,36.0,0.8395,552,25,4.50%,32356.0,25819308.2
53,Spokane,32356.0,Central Valley School District,5328.0,CVSD Open Doors Programs,R,12th Grade,68.0,29.0,0.0,39.0,2.0,1.0,0.0,0.0,0.0,4.0,61.0,2.0,0.0,0.0,4.0,25.0,0.0,0.0,27.0,2.0,4.0,66.0,67.0,68.0,64.0,43.0,68.0,37.0,7.0,,1.0,8.0,12.0,1.0,43.0,6.0,16.0,21.0,0.1395,Count Suppressed,Count Suppressed,<3%,32356.0,147632.4
54,Spokane,32356.0,Central Valley School District,3918.0,Mica Peak High School,A,12th Grade,65.0,27.0,0.0,38.0,2.0,1.0,2.0,0.0,0.0,3.0,57.0,0.0,0.0,4.0,6.0,30.0,0.0,0.0,14.0,0.0,14.0,65.0,65.0,61.0,59.0,35.0,65.0,64.0,6.0,3.0,,,7.0,2.0,68.0,44.0,14.0,10.0,0.6471,Count Suppressed,Count Suppressed,<4%,32356.0,3789455.4
55,,,,1964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,32356.0,664084.0
56,Spokane,32356.0,Central Valley School District,3415.0,University High School,P,12th Grade,418.0,194.0,0.0,224.0,9.0,6.0,10.0,4.0,3.0,27.0,359.0,2.0,0.0,103.0,22.0,175.0,0.0,0.0,8.0,0.0,58.0,416.0,413.0,315.0,396.0,243.0,418.0,406.0,49.0,3.0,3.0,3.0,13.0,23.0,432.0,392.0,18.0,22.0,0.9074,Count Suppressed,Count Suppressed,6.80%,32356.0,24393868.1
57,Lewis,21401.0,Centralia School District,2166.0,Centralia High School,P,12th Grade,244.0,124.0,0.0,120.0,3.0,1.0,6.0,72.0,0.0,5.0,157.0,11.0,0.0,8.0,17.0,143.0,3.0,4.0,23.0,9.0,36.0,233.0,241.0,236.0,227.0,101.0,241.0,217.0,36.0,1.0,1.0,5.0,10.0,49.0,204.0,178.0,9.0,17.0,0.8725,294,21,7.10%,21401.0,15309432.1
58,Lewis,21401.0,Centralia School District,5359.0,Futurus High School,A,12th Grade,28.0,17.0,0.0,11.0,0.0,0.0,2.0,10.0,0.0,2.0,13.0,0.0,0.0,0.0,7.0,22.0,1.0,0.0,9.0,0.0,2.0,28.0,28.0,28.0,21.0,6.0,27.0,25.0,2.0,,1.0,3.0,3.0,6.0,21.0,7.0,7.0,7.0,0.3333,Count Suppressed,Count Suppressed,<6%,21401.0,679222.4
59,Lewis,21302.0,Chehalis School District,5369.0,Lewis County Alternative School,A,12th Grade,27.0,13.0,0.0,14.0,0.0,0.0,0.0,9.0,0.0,1.0,17.0,2.0,0.0,0.0,1.0,17.0,2.0,0.0,10.0,0.0,5.0,25.0,27.0,27.0,26.0,10.0,25.0,24.0,6.0,,1.0,2.0,10.0,2.0,28.0,11.0,4.0,13.0,0.3929,Count Suppressed,Count Suppressed,<6%,21302.0,389792.4
60,Lewis,21302.0,Chehalis School District,2799.0,W F West High School,P,12th Grade,231.0,118.0,0.0,113.0,0.0,6.0,1.0,34.0,0.0,12.0,178.0,4.0,0.0,12.0,16.0,82.0,3.0,2.0,9.0,13.0,36.0,227.0,228.0,219.0,215.0,149.0,228.0,205.0,19.0,,3.0,,2.0,28.0,196.0,186.0,5.0,5.0,0.949,Count Suppressed,Count Suppressed,<1%,21302.0,12500014.9
61,Spokane,32360.0,Cheney School District,3610.0,Cheney High School,P,12th Grade,278.0,131.0,0.0,147.0,1.0,8.0,1.0,24.0,3.0,16.0,225.0,4.0,0.0,38.0,7.0,117.0,0.0,7.0,14.0,6.0,25.0,274.0,276.0,240.0,271.0,161.0,278.0,286.0,41.0,1.0,3.0,5.0,6.0,55.0,272.0,242.0,15.0,15.0,0.8897,292,10,3.40%,32360.0,15613195.2
62,Spokane,32360.0,Cheney School District,5396.0,Cheney Open Doors,R,12th Grade,8.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,8.0,8.0,8.0,4.0,8.0,17.0,,,,4.0,7.0,0.0,17.0,2.0,4.0,11.0,0.1176,Count Suppressed,Count Suppressed,<10%,32360.0,26487.7
